,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College,Tm,Link
13,13.0,Bogdan Bogdanović,SG,6-6,220,"August 18, 1992",rs,5,,ATL,https://www.basketball-reference.com/players/b/bogdabo01.html
14,22.0,Tyrese Martin,SG,6-6,215,"March 7, 1999",us,R,"Rhode Island, UConn",ATL,https://www.basketball-reference.com/players/m/martity01.html
15,7.0,Jarrett Culver,SG,6-6,195,"February 20, 1999",us,3,Texas Tech,ATL,https://www.basketball-reference.com/players/c/culveja01.html
0,9.0,Derrick White,SG,6-4,190,"July 2, 1994",us,5,"Colorado-Colorado Springs, Colorado",BOS,https://www.basketball-reference.com/players/w/whitede01.html
1,30.0,Sam Hauser,PF,6-8,215,"December 8, 1997",us,1,"Marquette, Virginia",BOS,https://www.basketball-reference.com/players/h/hausesa01.html
2,12.0,Grant Williams,PF,6-6,236,"November 30, 1998",us,3,Tennessee,BOS,https://www.basketball-reference.com/players/w/willigr01.html
3,0.0,Jayson Tatum,PF,6-8,210,"March 3, 1998",us,5,Duke,BOS,https://www.basketball-reference.com/players/t/tatumja01.html
4,7.0,Jaylen Brown,SF,6-6,223,"October 24, 1996",us,6,California,BOS,https://www.basketball-reference.com/players/b/brownja02.html
5,36.0,Marcus Smart,PG,6-3,220,"March 6, 1994",us,8,Oklahoma State,BOS,https://www.basketball-reference.com/players/s/smartma01.html
6,13.0,Malcolm Brogdon,PG,6-5,229,"December 11, 1992",us,6,Virginia,BOS,https://www.basketball-reference.com/players/b/brogdma01.html
7,40.0,Luke Kornet,C,7-2,250,"July 15, 1995",us,5,Vanderbilt,BOS,https://www.basketball-reference.com/players/k/kornelu01.html
8,42.0,Al Horford,C,6-9,240,"June 3, 1986",do,15,Florida,BOS,https://www.basketball-reference.com/players/h/horfoal01.html
9,11.0,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,2,Oregon,BOS,https://www.basketball-reference.com/players/p/pritcpa01.html
10,4.0,Noah Vonleh,C,6-10,257,"August 24, 1995",us,7,Indiana,BOS,https://www.basketball-reference.com/players/v/vonleno01.html
11,91.0,Blake Griffin,PF,6-9,250,"March 16, 1989",us,12,Oklahoma,BOS,https://www.basketball-reference.com/players/g/griffbl01.html
12,43.0,Justin Jackson,SF,6-8,220,"March 28, 1995",us,5,UNC,BOS,https://www.basketball-reference.com/players/j/jacksju01.html
13,44.0,Robert Williams,C,6-9,237,"October 17, 1997",us,4,Texas A&M,BOS,https://www.basketball-reference.com/players/w/williro04.html
14,20.0,JD Davison,PG,6-3,195,"October 3, 2002",us,R,Alabama,BOS,https://www.basketball-reference.com/players/d/davisjd01.html
15,28.0,Mfiondu Kabengele,PF,6-9,250,"August 14, 1997",ca,2,Florida State,BOS,https://www.basketball-reference.com/players/k/kabenmf01.html
16,,Danilo Gallinari,SF,6-10,233,"August 8, 1988",it,13,,BOS,https://www.basketball-reference.com/players/g/gallida01.html
0,7.0,Kevin Durant,PF,6-10,240,"September 29, 1988",us,14,Texas,BRK,https://www.basketball-reference.com/players/d/duranke01.html
1,0.0,Royce O'Neale,SF,6-4,226,"June 5, 1993",us,5,"Denver, Baylor",BRK,https://www.basketball-reference.com/players/o/onealro01.html
2,33.0,Nic Claxton,C,6-11,215,"April 17, 1999",us,3,Georgia,BRK,https://www.basketball-reference.com/players/c/claxtni01.html
3,4.0,Edmond Sumner,SG,6-4,196,"December 31, 1995",us,4,Xavier,BRK,https://www.basketball-reference.com/players/s/sumneed01.html
4,12.0,Joe Harris,SG,6-6,220,"September 6, 1991",us,8,Virginia,BRK,https://www.basketball-reference.com/players/h/harrijo01.html
5,11.0,Kyrie Irving,PG,6-2,195,"March 23, 1992",au,11,Duke,BRK,https://www.basketball-reference.com/players/i/irvinky01.html
6,10.0,Ben Simmons,PG,6-10,240,"July 20, 1996",au,4,LSU,BRK,https://www.basketball-reference.com/players/s/simmobe01.html
7,24.0,Cam Thomas,SG,6-4,210,"October 13, 2001",jp,1,LSU,BRK,https://www.basketball-reference.com/players/t/thomaca02.html
8,8.0,Patty Mills,PG,6-1,180,"August 11, 1988",au,13,Saint Mary's,BRK,https://www.basketball-reference.com/players/m/millspa02.html
9,30.0,Seth Curry,SG,6-2,185,"August 23, 1990",us,8,"Liberty, Duke",BRK,https://www.basketball-reference.com/players/c/curryse01.html
10,18.0,Yuta Watanabe,SF,6-9,215,"October 13, 1994",jp,4,George Washington,BRK,https://www.basketball-reference.com/players/w/watanyu01.html
11,13.0,Markieff Morris,PF,6-9,245,"September 2, 1989",us,11,Kansas,BRK,https://www.basketball-reference.com/players/m/morrima02.html
12,20.0,Day'Ron Sharpe,C,6-11,265,"November 6, 2001",us,1,UNC,BRK,https://www.basketball-reference.com/players/s/sharpda01.html
13,6.0,David Duke Jr.,SG,6-5,205,"October 13, 1999",us,1,Providence,BRK,https://www.basketball-reference.com/players/d/dukeda01.html
14,14.0,Kessler Edwards,SF,6-8,215,"August 9, 2000",us,1,Pepperdine,BRK,https://www.basketball-reference.com/players/e/edwarke02.html
15,1.0,T.J. Warren,SF,6-8,220,"September 5, 1993",us,7,NC State,BRK,https://www.basketball-reference.com/players/w/warretj01.html
16,31.0,Alondes Williams,SG,6-5,210,"June 19, 1999",us,R,"Triton College, Oklahoma, Wake Forest",BRK,https://www.basketball-reference.com/players/w/willial06.html
0,11.0,DeMar DeRozan,SF,6-6,220,"August 7, 1989",us,13,USC,CHI,https://www.basketball-reference.com/players/d/derozde01.html
1,9.0,Nikola Vučević,C,6-10,260,"October 24, 1990",ch,11,USC,CHI,https://www.basketball-reference.com/players/v/vucevni01.html
2,44.0,Patrick Williams,PF,6-7,215,"August 26, 2001",us,2,Florida State,CHI,https://www.basketball-reference.com/players/w/willipa01.html
3,12.0,Ayo Dosunmu,PG,6-5,200,"January 17, 2000",us,1,Illinois,CHI,https://www.basketball-reference.com/players/d/dosunay01.html
4,7.0,Goran Dragić,PG,6-3,190,"May 6, 1986",si,14,,CHI,https://www.basketball-reference.com/players/d/dragigo01.html
5,8.0,Zach LaVine,SG,6-5,200,"March 10, 1995",us,8,UCLA,CHI,https://www.basketball-reference.com/players/l/lavinza01.html
6,6.0,Alex Caruso,PG,6-4,186,"February 28, 1994",us,5,Texas A&M,CHI,https://www.basketball-reference.com/players/c/carusal01.html
7,3.0,Andre Drummond,C,6-10,279,"August 10, 1993",us,10,UConn,CHI,https://www.basketball-reference.com/players/d/drumman01.html
8,0.0,Coby White,PG,6-5,195,"February 16, 2000",us,3,UNC,CHI,https://www.basketball-reference.com/players/w/whiteco01.html
9,24.0,Javonte Green,SG,6-4,205,"July 23, 1993",us,3,Radford,CHI,https://www.basketball-reference.com/players/g/greenja02.html
10,5.0,Derrick Jones Jr.,SF,6-5,210,"February 15, 1997",us,6,UNLV,CHI,https://www.basketball-reference.com/players/j/jonesde02.html
11,25.0,Dalen Terry,SG,6-7,195,"July 12, 2002",us,R,Arizona,CHI,https://www.basketball-reference.com/players/t/terryda01.html
12,13.0,Tony Bradley,C,6-10,248,"January 8, 1998",us,5,UNC,CHI,https://www.basketball-reference.com/players/b/bradlto01.html
13,21.0,Malcolm Hill,SF,6-6,220,"October 26, 1995",us,1,Illinois,CHI,https://www.basketball-reference.com/players/h/hillma01.html
14,19.0,Marko Simonovic,C,6-11,216,"October 15, 1999",me,1,,CHI,https://www.basketball-reference.com/players/s/simonma01.html
15,,Lonzo Ball,PG,6-6,190,"October 27, 1997",us,5,UCLA,CHI,https://www.basketball-reference.com/players/b/balllo01.html
0,6.0,Jalen McDaniels,SF,6-9,205,"January 31, 1998",us,3,San Diego State,CHO,https://www.basketball-reference.com/players/m/mcdanja01.html
1,24.0,Mason Plumlee,C,6-11,254,"March 5, 1990",us,9,Duke,CHO,https://www.basketball-reference.com/players/p/plumlma01.html
2,12.0,Kelly Oubre Jr.,SF,6-7,203,"December 9, 1995",us,7,Kansas,CHO,https://www.basketball-reference.com/players/o/oubreke01.html
3,25.0,P.J. Washington,PF,6-7,230,"August 23, 1998",us,3,Kentucky,CHO,https://www.basketball-reference.com/players/w/washipj01.html
4,4.0,Nick Richards,C,7-0,245,"November 29, 1997",jm,2,Kentucky,CHO,https://www.basketball-reference.com/players/r/richani01.html
5,9.0,Théo Maledon,PG,6-4,175,"June 12, 2001",fr,2,,CHO,https://www.basketball-reference.com/players/m/maledth01.html
6,3.0,Terry Rozier,PG,6-1,190,"March 17, 1994",us,7,Louisville,CHO,https://www.basketball-reference.com/players/r/roziete01.html
7,2.0,James Bouknight,SG,6-5,190,"September 18, 2000",us,1,UConn,CHO,https://www.basketball-reference.com/players/b/bouknja01.html
8,23.0,Kai Jones,C,6-11,218,"January 19, 2001",bs,1,Texas,CHO,https://www.basketball-reference.com/players/j/joneska01.html
9,21.0,JT Thor,PF,6-10,205,"August 26, 2002",us,1,Auburn,CHO,https://www.basketball-reference.com/players/t/thorjt01.html
10,20.0,Gordon Hayward,SF,6-7,225,"March 23, 1990",us,12,Butler,CHO,https://www.basketball-reference.com/players/h/haywago01.html
11,8.0,Dennis Smith Jr.,PG,6-2,205,"November 25, 1997",us,5,NC State,CHO,https://www.basketball-reference.com/players/s/smithde03.html
12,7.0,Bryce McGowens,SG,6-7,179,"November 8, 2002",us,R,Nebraska,CHO,https://www.basketball-reference.com/players/m/mcgowbr01.html
13,1.0,LaMelo Ball,PG,6-7,180,"August 22, 2001",us,2,,CHO,https://www.basketball-reference.com/players/b/ballla01.html
14,5.0,Mark Williams,C,7-1,241,"December 16, 2001",us,R,Duke,CHO,https://www.basketball-reference.com/players/w/willima07.html
15,11.0,Cody Martin,SF,6-5,205,"September 28, 1995",us,3,"NC State, Nevada",CHO,https://www.basketball-reference.com/players/m/martico01.html
0,4.0,Evan Mobley,PF,7-0,215,"June 18, 2001",us,1,USC,CLE,https://www.basketball-reference.com/players/m/mobleev01.html
1,35.0,Isaac Okoro,SG,6-5,225,"January 26, 2001",us,2,Auburn,CLE,https://www.basketball-reference.com/players/o/okorois01.html
2,16.0,Cedi Osman,SF,6-7,230,"April 8, 1995",mk,5,,CLE,https://www.basketball-reference.com/players/o/osmande01.html
3,45.0,Donovan Mitchell,SG,6-1,215,"September 7, 1996",us,5,Louisville,CLE,https://www.basketball-reference.com/players/m/mitchdo01.html
4,3.0,Caris LeVert,SG,6-6,205,"August 25, 1994",us,6,Michigan,CLE,https://www.basketball-reference.com/players/l/leverca01.html
5,10.0,Darius Garland,PG,6-1,192,"January 26, 2000",us,3,Vanderbilt,CLE,https://www.basketball-reference.com/players/g/garlada01.html
6,31.0,Jarrett Allen,C,6-11,243,"April 21, 1998",us,5,Texas,CLE,https://www.basketball-reference.com/players/a/allenja01.html
7,0.0,Kevin Love,PF,6-8,251,"September 7, 1988",us,14,UCLA,CLE,https://www.basketball-reference.com/players/l/loveke01.html
8,33.0,Robin Lopez,C,7-0,281,"April 1, 1988",us,14,Stanford,CLE,https://www.basketball-reference.com/players/l/lopezro01.html
9,19.0,Raul Neto,PG,6-1,180,"May 19, 1992",br,7,,CLE,https://www.basketball-reference.com/players/n/netora01.html
10,8.0,Lamar Stevens,PF,6-6,230,"July 9, 1997",us,2,Penn State,CLE,https://www.basketball-reference.com/players/s/stevela01.html
11,32.0,Dean Wade,PF,6-9,228,"November 20, 1996",us,3,Kansas State,CLE,https://www.basketball-reference.com/players/w/wadede01.html
12,21.0,Mamadi Diakite,PF,6-9,228,"January 21, 1997",gn,2,Virginia,CLE,https://www.basketball-reference.com/players/d/diakima01.html
13,15.0,Isaiah Mobley,PF,6-10,240,"September 24, 1999",us,R,USC,CLE,https://www.basketball-reference.com/players/m/mobleis01.html
14,,Dylan Windler,SF,6-6,196,"September 22, 1996",us,2,Belmont,CLE,https://www.basketball-reference.com/players/w/windldy01.html
15,,Ricky Rubio,PG,6-2,190,"October 21, 1990",es,11,,CLE,https://www.basketball-reference.com/players/r/rubiori01.html
0,26.0,Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",us,8,Colorado,DAL,https://www.basketball-reference.com/players/d/dinwisp01.html
1,25.0,Reggie Bullock,SF,6-6,205,"March 16, 1991",us,9,UNC,DAL,https://www.basketball-reference.com/players/b/bullore01.html
2,11.0,Tim Hardaway Jr.,SG,6-5,205,"March 16, 1992",us,9,Michigan,DAL,https://www.basketball-reference.com/players/h/hardati02.html
3,77.0,Luka Dončić,PG,6-7,230,"February 28, 1999",si,4,,DAL,https://www.basketball-reference.com/players/d/doncilu01.html
4,35.0,Christian Wood,PF,6-10,214,"September 27, 1995",us,6,UNLV,DAL,https://www.basketball-reference.com/players/w/woodch01.html
5,10.0,Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",us,6,Florida,DAL,https://www.basketball-reference.com/players/f/finnedo01.html
6,7.0,Dwight Powell,C,6-10,240,"July 20, 1991",ca,8,Stanford,DAL,https://www.basketball-reference.com/players/p/poweldw01.html
7,8.0,Josh Green,SG,6-5,200,"November 16, 2000",au,2,Arizona,DAL,https://www.basketball-reference.com/players/g/greenjo02.html
8,42.0,Maxi Kleber,C,6-10,240,"January 29, 1992",de,5,,DAL,https://www.basketball-reference.com/players/k/klebima01.html
9,0.0,JaVale McGee,C,7-0,270,"January 19, 1988",us,14,Nevada,DAL,https://www.basketball-reference.com/players/m/mcgeeja01.html
10,44.0,Dāvis Bertāns,PF,6-10,225,"November 12, 1992",lv,6,,DAL,https://www.basketball-reference.com/players/b/bertada01.html
11,21.0,Frank Ntilikina,PG,6-4,200,"July 28, 1998",be,5,,DAL,https://www.basketball-reference.com/players/n/ntilila01.html
12,1.0,Theo Pinson,SG,6-5,212,"November 5, 1995",us,4,UNC,DAL,https://www.basketball-reference.com/players/p/pinsoth01.html
13,3.0,Jaden Hardy,SG,6-4,198,"July 5, 2002",us,R,,DAL,https://www.basketball-reference.com/players/h/hardyja02.html
14,34.0,Kemba Walker,PG,6-0,184,"May 8, 1990",us,11,UConn,DAL,https://www.basketball-reference.com/players/w/walkeke02.html
15,23.0,McKinley Wright IV,PG,6-0,196,"October 25, 1998",us,1,Colorado,DAL,https://www.basketball-reference.com/players/w/wrighmc01.html
16,,A.J. Lawson,SG,6-6,179,"July 15, 2000",ca,R,South Carolina,DAL,https://www.basketball-reference.com/players/l/lawsoaj01.html
0,5.0,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",us,9,Georgia,DEN,https://www.basketball-reference.com/players/c/caldwke01.html
1,11.0,Bruce Brown,PG,6-4,202,"August 15, 1996",us,4,Miami (FL),DEN,https://www.basketball-reference.com/players/b/brownbr01.html
2,15.0,Nikola Jokić,C,6-11,284,"February 19, 1995",rs,7,,DEN,https://www.basketball-reference.com/players/j/jokicni01.html
3,0.0,Christian Braun,SG,6-7,218,"April 17, 2001",us,R,Kansas,DEN,https://www.basketball-reference.com/players/b/braunch01.html
4,50.0,Aaron Gordon,PF,6-8,235,"September 16, 1995",us,8,Arizona,DEN,https://www.basketball-reference.com/players/g/gordoaa01.html
5,27.0,Jamal Murray,PG,6-3,215,"February 23, 1997",ca,5,Kentucky,DEN,https://www.basketball-reference.com/players/m/murraja01.html
6,3.0,Bones Hyland,PG,6-3,173,"September 14, 2000",us,1,VCU,DEN,https://www.basketball-reference.com/players/h/hylanbo01.html
7,6.0,DeAndre Jordan,C,6-11,265,"July 21, 1988",us,14,Texas A&M,DEN,https://www.basketball-reference.com/players/j/jordade01.html
8,22.0,Zeke Nnaji,PF,6-9,240,"January 9, 2001",us,2,Arizona,DEN,https://www.basketball-reference.com/players/n/nnajize01.html
9,32.0,Jeff Green,PF,6-8,235,"August 28, 1986",us,14,Georgetown,DEN,https://www.basketball-reference.com/players/g/greenje02.html
10,31.0,Vlatko Čančar,PF,6-8,236,"April 10, 1997",si,3,,DEN,https://www.basketball-reference.com/players/c/cancavl01.html
11,9.0,Davon Reed,SG,6-5,208,"June 11, 1995",us,3,Miami (FL),DEN,https://www.basketball-reference.com/players/r/reedda01.html
12,1.0,Michael Porter Jr.,SF,6-10,218,"June 29, 1998",us,3,Missouri,DEN,https://www.basketball-reference.com/players/p/portemi01.html
13,14.0,Ish Smith,PG,6-0,175,"July 5, 1988",us,12,Wake Forest,DEN,https://www.basketball-reference.com/players/s/smithis01.html
14,10.0,Jack White,SF,6-7,225,"August 5, 1997",au,R,Duke,DEN,https://www.basketball-reference.com/players/w/whiteja03.html
15,8.0,Peyton Watson,SG,6-8,200,"September 11, 2002",us,R,UCLA,DEN,https://www.basketball-reference.com/players/w/watsope01.html
16,,Collin Gillespie,PG,6-3,195,"June 25, 1999",us,R,Villanova,DEN,https://www.basketball-reference.com/players/g/gilleco01.html
0,7.0,Killian Hayes,PG,6-5,195,"July 27, 2001",us,2,,DET,https://www.basketball-reference.com/players/h/hayeski01.html
1,44.0,Bojan Bogdanović,PF,6-7,226,"April 18, 1989",ba,8,,DET,https://www.basketball-reference.com/players/b/bogdabo02.html
2,0.0,Jalen Duren,C,6-10,250,"November 18, 2003",us,R,Memphis,DET,https://www.basketball-reference.com/players/d/durenja01.html
3,23.0,Jaden Ivey,SG,6-4,195,"February 13, 2002",us,R,Purdue,DET,https://www.basketball-reference.com/players/i/iveyja01.html
4,41.0,Saddiq Bey,SF,6-7,215,"April 9, 1999",us,2,Villanova,DET,https://www.basketball-reference.com/players/b/beysa01.html
5,28.0,Isaiah Stewart,C,6-8,250,"May 22, 2001",us,2,Washington,DET,https://www.basketball-reference.com/players/s/stewais01.html
6,6.0,Hamidou Diallo,SG,6-5,202,"July 31, 1998",us,4,Kentucky,DET,https://www.basketball-reference.com/players/d/diallha01.html
7,20.0,Kevin Knox,SF,6-7,215,"August 11, 1999",us,4,Kentucky,DET,https://www.basketball-reference.com/players/k/knoxke01.html
8,18.0,Cory Joseph,PG,6-3,200,"August 20, 1991",ca,11,Texas,DET,https://www.basketball-reference.com/players/j/josepco01.html
9,5.0,Alec Burks,SG,6-6,214,"July 20, 1991",us,11,Colorado,DET,https://www.basketball-reference.com/players/b/burksal01.html
10,35.0,Marvin Bagley III,PF,6-11,235,"March 14, 1999",us,4,Duke,DET,https://www.basketball-reference.com/players/b/baglema01.html
11,12.0,Isaiah Livers,PF,6-7,230,"July 28, 1998",us,1,Michigan,DET,https://www.basketball-reference.com/players/l/liveris01.html
12,2.0,Cade Cunningham,PG,6-6,220,"September 25, 2001",us,1,Oklahoma State,DET,https://www.basketball-reference.com/players/c/cunnica01.html
13,17.0,Rodney McGruder,SG,6-4,205,"July 29, 1991",us,6,Kansas State,DET,https://www.basketball-reference.com/players/m/mcgruro01.html
14,9.0,Nerlens Noel,C,6-11,220,"April 10, 1994",us,8,Kentucky,DET,https://www.basketball-reference.com/players/n/noelne01.html
15,27.0,Buddy Boeheim,PG,6-6,205,"November 11, 1999",us,R,Syracuse,DET,https://www.basketball-reference.com/players/b/boehebu01.html
16,,Jared Rhoden,G,6-6,210,"August 27, 1999",us,R,Seton Hall,DET,https://www.basketball-reference.com/players/r/rhodeja01.html
0,3.0,Jordan Poole,SG,6-4,194,"June 19, 1999",us,3,Michigan,GSW,https://www.basketball-reference.com/players/p/poolejo01.html
1,5.0,Kevon Looney,C,6-9,222,"February 6, 1996",us,7,UCLA,GSW,https://www.basketball-reference.com/players/l/looneke01.html
2,23.0,Draymond Green,PF,6-6,230,"March 4, 1990",us,10,Michigan State,GSW,https://www.basketball-reference.com/players/g/greendr01.html
3,0.0,Jonathan Kuminga,PF,6-8,210,"October 6, 2002",cd,1,,GSW,https://www.basketball-reference.com/players/k/kuminjo01.html
4,4.0,Moses Moody,SG,6-6,205,"May 31, 2002",us,1,Arkansas,GSW,https://www.basketball-reference.com/players/m/moodymo01.html
5,11.0,Klay Thompson,SG,6-6,215,"February 8, 1990",us,9,Washington State,GSW,https://www.basketball-reference.com/players/t/thompkl01.html
6,40.0,Anthony Lamb,SF,6-6,227,"January 20, 1998",us,2,University of Vermont,GSW,https://www.basketball-reference.com/players/l/lamban01.html
7,1.0,JaMychal Green,PF,6-8,227,"June 21, 1990",us,8,Alabama,GSW,https://www.basketball-reference.com/players/g/greenja01.html
8,30.0,Stephen Curry,PG,6-2,185,"March 14, 1988",us,13,Davidson,GSW,https://www.basketball-reference.com/players/c/curryst01.html
9,0.0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",us,4,Villanova,GSW,https://www.basketball-reference.com/players/d/divindo01.html
10,22.0,Andrew Wiggins,SF,6-7,197,"February 23, 1995",ca,8,Kansas,GSW,https://www.basketball-reference.com/players/w/wiggian01.html
11,10.0,Ty Jerome,SG,6-5,195,"July 8, 1997",us,3,Virginia,GSW,https://www.basketball-reference.com/players/j/jeromty01.html
12,33.0,James Wiseman,C,7-0,240,"March 31, 2001",us,1,Memphis,GSW,https://www.basketball-reference.com/players/w/wisemja01.html
13,2.0,Ryan Rollins,PG,6-4,180,"July 3, 2002",us,R,Toledo,GSW,https://www.basketball-reference.com/players/r/rolliry01.html
14,7.0,Patrick Baldwin Jr.,SF,6-9,220,"November 18, 2002",us,R,UW-Milwaukee,GSW,https://www.basketball-reference.com/players/b/baldwpa01.html
15,,Andre Iguodala,SF,6-6,215,"January 28, 1984",us,18,Arizona,GSW,https://www.basketball-reference.com/players/i/iguodan01.html
0,4.0,Jalen Green,SG,6-4,178,"February 9, 2002",us,1,,HOU,https://www.basketball-reference.com/players/g/greenja05.html
1,6.0,Kenyon Martin Jr.,SF,6-6,215,"January 6, 2001",us,2,,HOU,https://www.basketball-reference.com/players/m/martike04.html
2,17.0,Tari Eason,PF,6-8,216,"May 10, 2001",us,R,"Cincinnati, LSU",HOU,https://www.basketball-reference.com/players/e/easonta01.html
3,3.0,Kevin Porter Jr.,PG,6-4,203,"May 4, 2000",us,3,USC,HOU,https://www.basketball-reference.com/players/p/porteke02.html
4,1.0,Jabari Smith Jr.,PF,6-10,220,"May 13, 2003",us,R,Auburn,HOU,https://www.basketball-reference.com/players/s/smithja05.html
5,16.0,Usman Garuba,PF,6-8,220,"March 9, 2002",es,1,,HOU,https://www.basketball-reference.com/players/g/garubus01.html
6,28.0,Alperen Şengün,C,6-9,235,"July 25, 2002",tr,1,,HOU,https://www.basketball-reference.com/players/s/sengual01.html
7,15.0,Daishen Nix,PG,6-5,224,"February 13, 2002",us,1,,HOU,https://www.basketball-reference.com/players/n/nixda01.html
8,10.0,Eric Gordon,SG,6-3,215,"December 25, 1988",us,14,Indiana,HOU,https://www.basketball-reference.com/players/g/gordoer01.html
9,25.0,Garrison Mathews,SG,6-5,215,"October 24, 1996",us,3,Lipscomb,HOU,https://www.basketball-reference.com/players/m/mathega01.html
10,9.0,Josh Christopher,SG,6-5,215,"December 8, 2001",us,1,Arizona State,HOU,https://www.basketball-reference.com/players/c/chrisjo01.html
11,20.0,Bruno Fernando,C,6-9,240,"August 15, 1998",ao,3,Maryland,HOU,https://www.basketball-reference.com/players/f/fernabr01.html
12,51.0,Boban Marjanović,C,7-3,290,"August 15, 1988",rs,7,,HOU,https://www.basketball-reference.com/players/m/marjabo01.html
13,0.0,TyTy Washington Jr.,PG,6-3,197,"November 15, 2001",us,R,Kentucky,HOU,https://www.basketball-reference.com/players/w/washity02.html
14,8.0,Jae'Sean Tate,SF,6-4,230,"October 28, 1995",us,2,Ohio State,HOU,https://www.basketball-reference.com/players/t/tateja01.html
15,12.0,Trevor Hudgins,PG,6-0,180,"March 23, 1999",us,R,Northwest Missouri State University,HOU,https://www.basketball-reference.com/players/h/hudgitr01.html
16,,Darius Days,PF,6-7,245,"October 20, 1999",us,R,LSU,HOU,https://www.basketball-reference.com/players/d/daysda01.html
0,24.0,Buddy Hield,SG,6-4,220,"December 17, 1992",bs,6,Oklahoma,IND,https://www.basketball-reference.com/players/h/hieldbu01.html
1,0.0,Bennedict Mathurin,SG,6-6,210,"June 19, 2002",ca,R,Arizona,IND,https://www.basketball-reference.com/players/m/mathube01.html
2,25.0,Jalen Smith,PF,6-10,215,"March 16, 2000",us,2,Maryland,IND,https://www.basketball-reference.com/players/s/smithja04.html
3,0.0,Tyrese Haliburton,PG,6-5,185,"February 29, 2000",us,2,Iowa State,IND,https://www.basketball-reference.com/players/h/halibty01.html
4,9.0,T.J. McConnell,PG,6-1,190,"March 25, 1992",us,7,"Duquesne, Arizona",IND,https://www.basketball-reference.com/players/m/mccontj01.html
5,23.0,Aaron Nesmith,SF,6-5,215,"October 16, 1999",us,2,Vanderbilt,IND,https://www.basketball-reference.com/players/n/nesmiaa01.html
6,2.0,Andrew Nembhard,SG,6-5,193,"January 16, 2000",ca,R,"Florida, Gonzaga",IND,https://www.basketball-reference.com/players/n/nembhan01.html
7,12.0,Oshae Brissett,SF,6-7,210,"June 20, 1998",ca,3,Syracuse,IND,https://www.basketball-reference.com/players/b/brissos01.html
8,33.0,Myles Turner,C,6-11,250,"March 24, 1996",us,7,Texas,IND,https://www.basketball-reference.com/players/t/turnemy01.html
9,22.0,Isaiah Jackson,PF,6-10,206,"January 10, 2002",us,1,Kentucky,IND,https://www.basketball-reference.com/players/j/jacksis01.html
10,21.0,Terry Taylor,SG,6-5,230,"September 23, 1999",us,1,Austin Peay State University,IND,https://www.basketball-reference.com/players/t/taylote01.html
11,88.0,Goga Bitadze,C,6-11,250,"July 20, 1999",ge,3,,IND,https://www.basketball-reference.com/players/b/bitadgo01.html
12,3.0,Chris Duarte,SF,6-6,190,"June 13, 1997",ca,1,Oregon,IND,https://www.basketball-reference.com/players/d/duartch01.html
13,16.0,James Johnson,PF,6-7,240,"February 20, 1987",us,13,Wake Forest,IND,https://www.basketball-reference.com/players/j/johnsja01.html
14,10.0,Kendall Brown,SG,6-8,205,"May 11, 2003",us,R,Baylor,IND,https://www.basketball-reference.com/players/b/brownke03.html
15,8.0,Trevelin Queen,PG,6-6,190,"February 25, 1997",us,1,"College of Marin, New Mexico Military Institute, New Mexico State",IND,https://www.basketball-reference.com/players/q/queentr01.html
